Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","45.27","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","1318","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","94.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","916","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","61.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","41","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","724","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","41","Chine, continentale","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","39.28","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","659","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","43.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","50","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","655","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","45.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","44","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","499","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","33.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","46","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","185","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","22.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","48","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","634","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","40.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","114","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","13.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","98","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","820","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","47.98","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","49","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","496","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","31.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","54","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","1194","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","69.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","72","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","231","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","15.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","55","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","579","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","39.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","59","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","330","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","26.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","60","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","432","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","25.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","559","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","41.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","58","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","615","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","36.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","203","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","819","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","65.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","63","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","801","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","53.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","984","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","69.78","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","238","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","126","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","238","Éthiopie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","7.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","185","Fédération de Russie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","843","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","185","Fédération de Russie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","56.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","66","Fidji","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","514","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","66","Fidji","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","31.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","67","Finlande","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","1314","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","67","Finlande","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","73.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","68","France","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","1181","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","68","France","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","69.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","74","Gabon","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2013","2013","Kcal/personne/jour","415","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","74","Gabon","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2013","2013","g/personne/jour","43.03","Fc","Donnée calculée"
